Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11
00002356517;Valuveljed ;0;0;0;0;0;;90833;KIA;109
00013601579;BMW Raamat;0;0;0;0;0;;0;0;0
